,Date,Username,Review,Likes On Reviews
0,"April 17, 2019",Imran Faisal,"Where is the buy option? Put an item into my shopping list, and then... nothing. No check out. No profile to edit my address either, making it clear this app is ONLY for recording shopping lists. No better than a catalogue. Seriously? It's 2019. Even the local dinky shopping marts manage online shopping.",64
0,"August 19, 2019",Greg Willett,"This app could use much improvement. It is slow to load, and it redirects you to the website if you actually want something. I downloaded the app so I wouldn't have to use the website. Defeats the purpose of having an app....",
0,"April 27, 2019",Melanie Ramos,This is great and all...but the app won't accept the IKEA card number I input into it. It says invalid number but I double checked my physical card and the desktop version of my IKEA FAMILY card... Please fix? Or atleast show us a work around for this problem? I really want to just go cardless when I shop.,57
0,"August 22, 2019",Peter Kempf,"Won't stay logged in - as soon as I log in and try to go to another page (e.g. shopping list) I get a ""we had to log you out"" message. For that reason, this app is not particularly useful to me.",
0,"July 11, 2019",Tony Challinor,Too hard to set up an account - tried 4 times then deleted jt i registered in store using my email address. when installing the app the options are - create an account or sign in. create account option tells me my email address is currently registered. So i try to sign in and ask for a password reset but the reset link never arrives. Too much like hard work to bother,3
0,"March 9, 2019",James Bailey,No option to opt out of location tracking . Which is a GDPR violation. Why IKEA believes that it has the right to track and store my every move because I might want to buy something off them is a fine example of surveillance capitalism. Immediately uninstalled!,391
0,"March 1, 2019",Kristian Healey-Ryder,"App hasnt worked properly for months now. Every time I log in it throws up an efror message ""Oops we had to log you out"". I've tried clearing the app data, reinstalling, uninstalling rebooting then reinstalling. it doesnt work at all. Absolute waste of my time.",37
0,"August 12, 2019",Andrew Williams,"Completely useless. Every time I try to log in, it tells my my credentials are wrong. Made a brand new account and still the same issue. I can log in with both accounts through my browser.",
0,"March 1, 2019",Ben Johnson,"I had a pretty full shopping bag built up, but now can't log in to access it, and can't remember all of the items (which is the reason we make shopping lists)! I keep getting the OOPS, WE HAD TO LOG YOU OUT... error.",31
0,"May 30, 2019",Cody Winkler,"The app looks very nice, but does not allow you to search by categories except for a very select few. There appears to be no category for types of rooms (kitchen, bathroom, etc.)",3
0,"August 24, 2019",Sadallah Nakhleh,I had the app already and it was working ok. I've changed phones and now it crashes on launch. Reinstalled 3 times and it's not helping. Any tips? I'm using the Italian version.,
0,"April 17, 2019",Wesley Ferreira,"The app does not allow you to shop, only to create a shopping list. That is hard to understand. Your website is already a pain to shop on, mow the app is limited. I guess that's a way to send customers to the store eh?",18
0,"July 30, 2019",Radhini Govender,"It's a great app for letting you know what's in store, however, you can't actually buy anything using the app. You still have to open the Ikea website in a browser to make any purchases. You can basically only use the app to browse the store and make ahopping lists. This app ahould be updated so you can actually oay for stuff.",9
0,"July 4, 2019",Tenisha Albino,"I've been trying for months to sign in into the app. Been directed to click forgot password because too many failed attempts. I know my password. Click forgot password & i cannot be helped there either whether i want it sent via email or text. App is updated. Going to delete then reinstall. If it fails again, I'm permantly deleting. Also happens with my sisters phone, different phone, so i know it's the app. Otherwise good App when i was able to use it.",6
0,"March 27, 2019",Kimputer,"Very helpful, makes it easier to see the full range of each item in the store as not every combination is on display. Also makes locating the flat pack furniture in the self-serve section much easier.",537
0,"April 12, 2019",Thrisha Datla,"Very bad app. I signed up, and entered the correct details and it shows doesn't match with credentials they have, like seriously? Its really a very bad experience. Its not even been 10 mins since I installed the app, and now am uninstalling it. I quit.",17
0,"June 9, 2019",M C,Even though I have an account and have reset my password on the website this app will not recognize my login. Multi billion $ companies should be publishing better apps. Looking at others' reviews it doesn't seem like I'm missing much by not being able to use the app at all.,8
0,"August 18, 2019",Barbara van Doorn,"It works ok. However the filter by category function does not work at all. Also the app doesn't remember your login/password. Its says 'you where logged out because you logged in on a different device', however I didn't. You really need to re-enter your password manually every time, which is a bit annoying.",3
0,"March 24, 2019",Eric Frazer,had to reset password. when i used my temporary password 2 login it asked me to use the web page not the app. after using the website and said that I couldn't change my password at the time. frustrating and waste of time,9
0,"March 19, 2019",marina brodskaya,"Hey) Great job, I like the app so much. On the page with my Ikea Card there is the text like ""if this code doesn't work, try that"" and I can see '\n' symbol. Maybe you need to fix?)",3
0,"August 6, 2019",Lita Ait Massai,"would be awesome, if it worked, but it doesn't. At all. it keeps shutting down everytime i click on a furniture category to browse, and also refuses to let me log in. Not ready for launch, needs more work.",
0,"August 21, 2019",Jonathan Sampson,"Anytime I try to sign in, it says it failed. I attempt to reset my password, says my account doesn't exist even though I have no trouble signing in using the browser.",
0,"August 26, 2019",Team JB,"Crappy site. Crappy app. Spent hour in products search. When prompted to do check out and sign in, all items from the shopping cart disappeared. £800 worth of items. Not going to waste my time again.",
0,"March 14, 2019",A Google user,"great app, but can be enhanced to search by store and to be able to switch favorite store in a separated app not the main. another option that I don't know why it does not exist is to be able to see previous purchase and other detail. good luck!",3
0,"June 1, 2019",CK roid,"can't seems to link my Ikea Family account. Login for family account is using phone number, but login to the app is email, how does this work? I login using the same email but it doesn't exist and i have to create the account, but still can't see find the Digital Ikea Family card.",2
0,"June 29, 2019",Julia Ferrer Foong,"started shopping, suddenly logged out, lost my basket with all the items I've selected (once I logged back in) and worse yet, can only create a shopping list. Looks like I am in a totally different app. From Online Store to Wish List😳🤷‍♀️",3
0,"April 25, 2019",Chelsea Reaves,terrible. keeps telling me that i dont exist. started a new account & then tells me i have an account. so i logged into my account online with no problem. attempted to use my family # & it says its wrong as well 🤷🏽‍♀️ #Sucks,6
0,"January 6, 2019",Alexandra Cornish,"1) search funtion is still atrocious. Search for an item, i get what I want but it cannot be sorted by price as all other items get sorted in as well. Like ""rail"" also includes hooks, containers and curtain rods. 2) suggestion: can we have a ""favourites"" outside of the basket? There are items I want to love and keep in mind for when I can afford or have the space for them. In the meantime, I can buy other solutions which I can later use with them. 3) would be great to be able to buy in-app.",156
0,"March 18, 2019",Steven Rosario,"I can log into the ikea website with my logon but not the android app. also, not sure why they maintain two different user databases for ikea and ikea family. makes no sense. they should be bound by email address.",5
0,"December 19, 2018",Alex Shirley,"This used to be great. Cannot log in any more due to the account synchronisation issue, so the app is useless. I reinstalled the app, granted it location access, and it thought I was 100s of miles away in Belfast. Also, I was previously forced to change my password to a less secure one (didn't allow special characters), which is absolutely nuts, and wildly irresponsible in terms of protecting our personal data - at least they've fixed that.",78
0,"July 7, 2019",kranthi kumar s,"IKEA India with Swedish roots, become a synonym for wide range of quality home furnishing and home decor products with exceptionally low prices. This app will save much of your time while you are on the store to know the complete details of the products along with the availability...🛋️🇸🇪🥇🍱",9
0,"November 10, 2018",A Google user,"This app used to be helpful in accessing my shopping list in the store. But now whenever I log in, it logs me back out, saying it's unable to synchronize my account. I tried uninstalling and reinstalling the app, and I still have the same issue. So then I have to remember what was on my list and look the items up individually to find where they're located, or print out my list from the web site at home (which has no problem keeping me logged in) before I show up at the store. IKEA really needs to fix this problem, because right now the app is only semi-useful to me.",66
0,"February 26, 2019",Christina Hopkins,"The app is good, but has two major shortcomings. 1, the inability to share an item as a link instead of a file. 2, the lack of store map. Yes the app tells you what department it is in and if you can go straight to self-serve, what aisle, bay and product number. However, in a store that is set up more as an shopping adventure than a mere shopping experience, an interactive map can be a boon for both the customer and as a marketing tool/data mine. Plus, should be an easy tie in with instore wifi",55
0,"October 2, 2018",A Google user,"So I downloaded this and I can't order or view previous online orders. On that subject when I pay for a home delivery within an agreed timeframe I expect to get what I paid for. IKEA is in breach of contract. If I have not heard anything by lunchtime tomorrow I will dispute this with the credit card company forcing Ikea to cancel the order. No other option as it's impossible to speak to customer services or email. Also, app deleted. It's useless!",129
0,"March 25, 2019",A Google user,I dont understand whu there is no save for later option reqlly helps with decision making and I signed up to your family because I was lead to believe that would open that option up to me - clearly I was wrong and you should probably re think your wording..,86
0,"October 21, 2018",Femke Geerts,"The app is slow, unsuited for mobile screens (does not adapt to different sizes, text gets cut off, etc), and it costs more time using the app than simply taking a picture or writing your item down. Moreover, a lot of features do not work yet; the maps of the store displays an error. This app should not have launched yet, it needs a lot of work. Do not use until further updates.",2
0,"September 15, 2018",Mel D,"I've been an Ikea member for a long time and I cannot by the life of me log into the Ikea Family website, no matter what I try! It seems that only New Member's can log in. I have some friends that just recently signed up and they have no problems with logging in. So is this Ikea's way of telling us that they don't want the Old Member's? I'm really peeved that Ikea's tech support haven't picked this up and fixed this issue. It seems to be a long standing problem as friends and family have the same issue month's ago! I'll change my rating if the issue gets fixed. Not happy!!",8
0,"June 12, 2019",Paul Stanton,"When will IKEA fix this app???? For months I haven't been able to long into my 'account'. All I get is a ""Oops....we've had to sign you out"" pop-up message.. Come on Ikea, pull out those Allen keys and fix your app. Or, just like your furniture, do we have to build it ourselves?!?!",1
0,"June 12, 2019",Greg Whitney,I can't even sign in lol. I used the right email and had to do a password reset. I used the temp password that was given and still couldn't sign me in. Got to the point it locked me out.,
0,"July 29, 2019",P R,I have had an IKEA account for some time now but now it logged me out and is not allowing me log in nor does the reset password work. Synch fail message shows up. Very poor quality app.,
0,"January 5, 2019",Mizera Mykle,"Original lists GONE. Create new lists, saved 1 item to 1 list, further attempts causes app to freeze. Also, app is *very* s...l...o...w. I understand you're getting ready to eliminate store map/shopper lists and pencils along with measuring tapes and catalogs in favor of apps. I only just got this phone and thinking of cancelling it. If I do and you delete everything I'll not be able to shop inside your store. Many people don't use cell phones so you'll cut them out too. Don't be myopic.",91
0,"January 7, 2019",Kris Dev,"I could not search a product by its SKU ID. i saw a sofa cum bed but its inventory was not available. store personnel has told me that the product will be arriving in 4 days and that i can see the product in the app. but i dont see the product. Everytime, customer cannot go to store and look for the product availability. hope the app is improvised to ensure customers can search by product id. Thanks to Ikea for starting in Hyderabad.",100
0,"November 3, 2018",joey,"There was finally an update, but it didn't fix the single most glaring problem: the app doesn't allow you to stay signed in for more than a few mins (""you have been logged out (...) another device""). This has been going on for months upon months now. Samsung Galaxy S5 running Android 6.0.1 on Verizon.",37
0,"July 1, 2019",Tamir Kojfman,"UPDATE: my phone no longer asks me to edit photos with this app. Thank you for fixing! Useful for shopping, not editing photos. I like the idea of shopping with the app, but whenever I try to edit my photos in Snapseed or another photo editing app, it asks me if I want to use the Ikea App. That's a big fail!",2
0,"March 3, 2019",Mike Loh,"The app keeps crashing, each time I added a few items. doesn't matter Mobile version for tablets. Very annoyed as I ordered a bunch of items and I lost my items after resigning in.",5
0,"February 6, 2019",Ricardo Musch,"When will you fix the fact that you cannot login with your ikea account??? (loggin in results in an error: oops we had to log you out, we couldn't synchronize your account) This error has been there for months, and its not just me... reinstalling the app or deleting data doesnt fix it. For my shopping list in-store I now have to resort to the desktop site on my phone... This is not what I expect from Ikea and it doesn't give me hope in Ikea's tech skills (I'll skip Tradfi...)",130
0,"June 2, 2019",charles krokey,i love ikea. but i have now emailed them three time About the problem with there app not letting me see anything but a small amount of the product page. not good same with there web site not working properly.,
0,"July 15, 2019",Lisa Chafin,"Underwhelmed at best. I live a great distance from an IKEA store. I needed the app to SHOP ONLINE, of which there is none albeit ONE candle. I don't want another credit card. I want to shop online! Why the heck have an app if you're not going to offer online shopping? What a waste of research and development.",5
0,"August 1, 2019",Kimberley Stock,"Poor since update recently used to be fine, why change it! App used to work lovely, now updated you cannot look at offers at your store and the pdf download doesn't work on android Samsung Galaxy S9+.",
0,"January 23, 2019",Ioana Mihaescu,my first experience with ikea was with filters and sorting and it was a great experience with lots of purchases. Now not with the app or online (on my phone i can't tell the difference) i cannot sort or filter anything. Its hard to sort or filter or even search and similar to something from a decade ago not user friendly at all. And i can't no longer acces the computer site because it keeps redirecting to the mobile site.,7
0,"November 14, 2018",Shin Singh,"For months the App has had log-in synchronisation issues, meaning you cannot log in and have the in store benefits and convenience. The store is a black hole for Data and Phone Signal, the wifi is needed to view and tweak your shopping list. Developers don't even acknowledge the problem or reply to any attempt to contact them.",17
0,"July 22, 2019",Nike Leung,"worst app and website never had, never received a confirmation email after ordered online and the website was showing not paid yet even charged a week ago. No way to check the order status and must walk-in to ask the customer service the check the orders.",
0,"February 13, 2019",Kristine Nasiatka Ward,Not a huge gam of the app. Does not store your family card if you close down the app. clunky compared to other furnoture and home goods shopping apps available. I keep it on my phone only for 1) the link to Ikea's website where I can login to get my family card to use in the store; 2) find the aisle locations to pick up product.,50
0,"January 29, 2019",Garmon Smallwood,"Put Simply... Broken. Search function doesn't work, all I can access is featured items. It also recommended Belfast as my nearest IKEA. There are many more stores closer to my location without the need to cross the Irish Sea! Not a great first first impression, I must say. I've redownloaded to no avail...",6
0,"February 9, 2019",Karan Vir Arya,"Don't understand why you can't set app language to English, though country of residence may have a different language. I'm in Budapest, and i can't use the app coz the language changes to Hungarian when i set my location. Its ridiculous. Apps like AliExpress don't have this problem, I'm surprised IKEA does.",197
0,"April 30, 2019",Gemma Riera Molina,"im not sure if Ikea app and website are having problems but its collapsing, i cannot buy stuff because I don't get the password email otherwise you also cannot buy anything without being registered or have the family card... same for the website, also the list got deleted...",
0,"February 27, 2019",A Google user,"Wouldn't recognize my email address. Thinking I may not have signed up, I tried to do so. Then it said my email address was being used. So I try to change my password. After the 3rd try with passwords, I found success. Then I tried to sign in. wrong password. (No it's not.) I quit. T",37
0,"November 17, 2018",Chris Parker,"What's the point of having an app to check store availability, if when I get there they have none in the store? Employee even checked their computer and said they had *50* in stock. After looking for them she came back and said they were out. Not the first time this has happened. App sucks",2
0,"September 26, 2018",Karl Ronan,"This app worked for one week. As of sept 21st 2018, it won't let me log in. Says Oops we had to log to out! I can log in on my PC but the app keeps displaying this error. Tried reinstalling. No luck! What's wrong? Also I have not received my card in the post after two weeks! And two requests!!!",3
0,"October 24, 2018",Jo McNeill,"Its fantastic. It can be linked to their web page if you are logged in. It has a shopping list feature, tells you if this are in stock at your local store. Has tick boxes for when you have picked up bits on your list & shows you what exact location things are down the the aisle & shelf number if you need a quick in & out. Its brilliant!",1
0,"April 8, 2019",Francesco Sorrentino,After I had carefully selected my items I can not purchase from this app.. really? Is 2019 and you can't have a decent developer to make you a decent app? You have the money ikea... Spend it properly... What a huge waste of time.,4
0,"March 10, 2019",A Google user,"the app keeps saying ""oops we had to log you out"" now i have to queue up at the machine to print out a temporary card. what a waste of time",8
0,"June 30, 2019",Jessica Squires,This app does not work. I can't connect my Ikea account. Also the shopping list function does not workproperly.,1
0,"January 28, 2019",Darius Yang,"new: Don't use this app. It gives you wrong product numbers and locations at the store! Programmers, you had one job! Get them right! you need to allow users to choose different colours of the sams item. Sometimes I have to search the item's name just to see ehat other options are available",10
0,"October 23, 2018",Itai Sanders,"we have three IKEA stores in the country, and yet Israel is not listed on this app so we can't use it. they could at least let us mange our shopping list without setting a location, but you can't use the app without a location so we are locked outside unless we fabricate a false location.",2
0,"August 19, 2019",rad wagon,"Ridiculous. Fix your online shopping, i cant make an order on a tablet or phone via browser or app because i get logged out every ten seconds and it forgets my list.",
0,"May 3, 2019",C. Queasy,"A bug renders the app unusable. If you select the wrong store by mistake there is no way you can select a different one, even if you go back and click select store again. Couldn't do anything more after that.",
0,"August 6, 2019",DavidEOLong,"This app is just as horrible as their website. Every time you change pages it asks about cookies. Literally every page change. Thats not all. Tried ti use the search function. I selected items that popped up in their own search window and 100% of the time the screen just sat blank. So the only way to find something is to search their endless product list. It's literally as mindless as their store organization. Ikea sucks. deleted the app, done with this meatball company.",2
0,"December 29, 2018",Gabriel Kent,"Terrible sign-up experience (bad form validation, can't paste passwords) -- finally get app launched and the store I am in doesn't have bar codes on the item tags and the apps image recognition is slow (pixel 3 xl) so have and have to hit back mutiple times after each scan, might as well use a list on web app... which is also pretty bad experience overall, ikea really needs to step up its digital game.",69
0,"July 23, 2019",Judith Thornton,an impossible to the direct the app to what I want that is just not it's not set up property I don't think it should be a little more detailed so you can just jump to it and I have to go through every single you know piece of whatever you looking for in just in all categories categories are too vague can't find nothing sorry not impressed I tried have a good day,
0,"July 31, 2019",Matt Johnson,"after logging in app crashes every single time, reboot/reinstall made no difference, even if i skip login and just tried to use the app, disappointing to say the least",
0,"August 21, 2019",Marek Hlava,I get logged out right after logging in because of some synchronization problem. I can log in on the web just fine.,2
0,"June 19, 2019",hanan Elbastawisy,"it needs more attention as many items can't be added to the shopping cart and if you enter pc you can add it easily, and stopped a lot giving msg. some thing went wrong and you have to go back to the home page and start your search again from the beginning.",1
0,"March 26, 2019",Dan W,"Unable to sign in to the app, even though i'm successfully signed in on the website. Only purpose for this app is for browsing. Rubbish.",6
0,"September 23, 2018",K C,"Ordered furniture on September 19 2018 in the store . Told it was in stock . Scheduled delivery for the Friday which was 2 days later . I was told I would be called the day before .... no call . Called Friday ( the day I took off work !!!) The store told me to call the delivery company in New York???? Ok ... so after talking to new York, they said they would call me back . After waiting 1 hour , they said it was sitting there because no one was sure if it was supposed to be assembled. I have paperwork saying different. I specifically said assembled would fit through doors. So after this , I was told to call IKEA again to reschedule delivery . Keep in mind I am paying for delivery cost . They put me on hold and then disconnected 2 times . 5 hours later , I finally had someone on the phone . She said , we can deliver Monday. 2nd day of lost work !!!. Now I get an email saying FedEx will ship Tuesday and it's coming from Pennsylvania. So. 3 days of lost work !!!!. NOPE. WILL ABSOLUTELY NEVER BUY FROM IKEA AND HAVE THEM SHIP.",
0,"December 8, 2018",E11is B,"Impossible to use - couldn't even sign up for an Ikea Family membership. Made me think that maybe it's not worth the treck out of the city to go the actual store - Structube is better, closer, and I can actually ADD products to my shopping list.",23
0,"April 27, 2019",Jen G,"If you have trouble, uninstall the app and try again. that's what I did to finally get it to work. Terrible. Was never able to get account set up to work.",3
0,"March 6, 2019",A Google user,can you please give an option for english language coz I really want to have it in my phone but it doesn't have an english translation. I'm very disappointed. uninstalled,4
0,"November 5, 2018",Waned Malave,"Couldn't select Puerto Rico stores as my preferred stores. I have a store about 10 minutes from here. Not in Miami FL like the app forces me to select but in Escorial, Carolina, Puerto Rico. I even found it in the app's map, and couldn't select it.",5
0,"March 2, 2019",A Google user,1. should have it in English too up here in Finland. 2. poorly designed little access & could show more products that are in the store properties. why in contrast AMAZON.CO.UK wins hands down in contrast to IKEA FINLAND. learn something from them Ikea. Amazon knows what it's doing.,
0,"October 22, 2018",Siân Jones,"Impossible to log in via this app. So can't access shopping list in store, which is about 80% of the point of the thing. Would be less of an issue if in-store WiFi worked so you could access the website. But the WiFi isn't fit for purpose either.",1
0,"August 5, 2019",Wayne S.,Terrible app. Logging in and constant server issues. Developers need to go back to school to pick up where they left off. 0 out of 5.,
0,"July 27, 2019",divya radhakrishnan,the app used to work fine until recently. most of the products are not loaded and prompt us to try again later. I had to re install the app twice.,
0,"May 20, 2019",Mark Nguyen,The share button only sends an image on WhatsApp and Messenger or copies a large amount of text if you copy to clipboard. That behaviour needs tidying up. There should be a wishlist /board functionality if you have an account to save things.,4
0,"December 9, 2018",A Google user,"After years of use across several devices, I can no longer log in. ""Error synchronising your account"". I tried emailing the developer but have no response in over a month. As I can't use half the features of the app it gets one star.",5
0,"April 9, 2019",di dowsett,"This app used to be good, but I haven't been able to log in for months, just keeps telling me oops, something went wrong. Very frustrating.",3
0,"March 16, 2019",Shaun Hunt,"DO NOT TRUST THIS APP ... spent several hours in store, created a large shopping list and all but 4 items now on the list. I was logged out and unaware. would have been much safer to use pencil and in store forms. Until the developers publish the words FIXED .. items added to shopping bag no longer get lost, do not install.",9
0,"December 3, 2018",Joy G,The app developer doesn't care with their customers feedback. Otherwise they could have resolved the issues raised before and new users shouldn't need to experience the hassles of logging into the app. Disappointing.,49
0,"March 15, 2019",A Google user,"Although I love Ikea, I have to say that the app sucks! It constantly buffers and contiuesly asks me if I want to change stores then gets stuck buffering! Pity, being a compulsive shopper with no budget, I will just spend my money elsewhere! IKEA can just SASHAY AWAY!!",
0,"July 5, 2019",Roberta Roswood,"Unable to even log in. Tells me my password is incorrect, so I change the password and it STILL says password is incorrect.",1
0,"August 14, 2019",Tamás Kapcsándi,"It is a good app, but the filter for the ratings are not working. Please fix it, as a developer I think this isn't that hard.",
0,"October 24, 2018",Leo Selavo,"First thing it does is asking for my location, for the closest store. However, Latvia is not in the options list, although there is a store. And I could not get further without selecting the country.",72
0,"October 18, 2018",Fred Hoette,"Never got beyond finding my store (first screen). The manual store select should be the first option, that link was not selectable while the app looked for my location - info that I suppress and that it will never come back from. Poor design.",2
0,"February 27, 2019",Saleh Nabil,"App is informative but it is awfully disappointing and desrepcting when sending IKEA costumer any query (only through ""contact us"" web form - no customer service e-mail provided) as they never reply despite sending them over and over. Another note by the majority of people is IKEA products are expansive compared to the quality and finishing.",19
0,"June 16, 2019",Sinthujan Kethes,There use to to be a feature where it give an in store map of any IKEA Store you selected and it was really helpful to navigate around and find where each department was located Now it seems that feature is no longer available and was a bad omission to do,
0,"June 28, 2019",Kristofer Coe,"I love their furniture kitchen sets bedroom sets they're all different from your normal American style, nothing wrong with new flavors.",4
0,"July 28, 2019",Luz Seymour,"This is for LISTING what you want from Ikea to be able to find it in stores but it is NOT for shopping!! I download the app thinking that I could make my purchase through it by the website wasn't working but nope. Just for listing what I want to buy, no buying.",
0,"April 15, 2019",Kathy Solt,when creating the profile it kept telling me it had to be less than 15 characters for the first name even though my name only has 5. It shouldn't be so difficult. Finally gave up.,
0,"October 4, 2018",A Google user,"Worst app I ever used. Crashes when scrolling to end of list, search only exact name and can't search product id. Does not show related products, does not show all products that you can find on website. Totally useless and annoying.",2
0,"November 30, 2018",Peter Juhasz,"Absolutely the WORST SHOP APP EVER!! You can't contact ANYBODY!!! Took 1 hour and 29 minutes to answer, and then they don't even know their own stock!! DO NOT SHOP HERE, EVER. ALL ARE IDIOTS!!!",73
0,"April 22, 2019",Tim Johnston,"I cant even login. When I try it says my password is no good, so I choose to reset the password and I changed it, now it says I can not still login. I try and resignup and says I am already signed up.",
0,"January 10, 2019",Almas khan,I have had a bad experience at customer service in Ikea Qatar. they don't follow back. no not at all. and this app also sucks. it shows product availability while it is not available in the store,3
0,"March 31, 2019",Billy Halliday,I like the app a lot but my only issue is that I can never log in to my family account and get an error saying that my account cannot be synchronised to my phone.,1
0,"February 8, 2019",Diana Sousa,"I've always had a normal ikea account and it worked perfectly fine but today i upgraded to ikea family and i cannot log in, first few times was alright but now is really getting on my nerves, so PLEASE FIX IT!!! Thanks..",11
0,"March 26, 2019",Katie Lam,App would be much better if you could purchase (for deliveries) directly from the app. Price and availability for some products were also not updated which is why I prefer using the website,3
0,"June 25, 2019",Philipp B.,"Impossible to log in, as the app doesn't seem to recognise my account credentials. This seems to be quite a common problem, since there are numerous reports and comments relating to this issue. This needs to be fixed as soon as possible!",1
0,"July 20, 2019",RU Kidding,"I thought I was doing something wrong because I had thi kiddo living in. Bad, so I went to the main website and tried to continue using it. it told Me oops error. no not my error. I love the fact that it's not bogged down with online redirecting. I want to shop ar the locally & it clearly states what the item are available. Great! however I kept reading. the app wanted access to everything and states that it will MOVE OR DELETE things on my SD No THx!",2
0,"August 7, 2019",Dorina K,"On my way to the store, I try opening the app to check what's on my wish list only to see I've been logged out. Now it won't allow me to log in for some reason and I didn't take my Family Card either cause I thought I'd just use the app..",
0,"August 24, 2019",Sarthak Chadha,This app glitches too much. The search bar never works no error message as well. This is NOT like IKEA. Not. Happy.,
0,"November 25, 2018",Chenxi Zhuang,"This used to be a great app with a lot of useful and current information and tools. I think it was since the change of ownership of the business, the new management decided to strip everything. Now there is even no images available any more.",1
0,"December 17, 2018",trustonly,"App tends to be buggy or somewhat downgraded compared to previous versions, search results tend to vanish when you scroll down and even stock that is fairly common is not even turning up? what happened to this app?",6
0,"June 4, 2019",Cherrie TingTing,"It prompts the app will not be available after June 12, 2019. so... where should we go next? Will there be a new IKEA app for Hong Kong?",
